"Año","Mes","Región","Inflación mensual general"
"2005","2005/02/01 00:00:00","AMBATO","0,00411928"
"2005","2005/02/01 00:00:00","COSTA ","0,00212325"
"2005","2005/02/01 00:00:00","CUENCA","0,00545886"
"2005","2005/02/01 00:00:00","ESMERALDAS","0,00015619"
"2005","2005/02/01 00:00:00","GUAYAQUIL ","0,00183886"
"2005","2005/02/01 00:00:00","LOJA","0,00638981"
"2005","2005/02/01 00:00:00","MACHALA ","-0,0033429"
"2005","2005/02/01 00:00:00","MANTA ","0,00644049"
"2005","2005/02/01 00:00:00","NACIONAL","0,00272185"
"2005","2005/02/01 00:00:00","QUITO ","0,00151333"
"2005","2005/02/01 00:00:00","SIERRA","0,00323236"
"2005","2005/03/01 00:00:00","AMBATO","0,00515338"
"2005","2005/03/01 00:00:00","COSTA ","0,00443892"
"2005","2005/03/01 00:00:00","CUENCA","0,00240159"
"2005","2005/03/01 00:00:00","ESMERALDAS","0,00976624"
"2005","2005/03/01 00:00:00","GUAYAQUIL ","0,001804"
"2005","2005/03/01 00:00:00","LOJA","-0,00277013"
"2005","2005/03/01 00:00:00","MACHALA ","0,00620258"
"2005","2005/03/01 00:00:00","MANTA ","0,00613093"
"2005","2005/03/01 00:00:00","NACIONAL","0,00263371"
"2005","2005/03/01 00:00:00","QUITO ","0,00082056"
"2005","2005/03/01 00:00:00","SIERRA","0,00109582"
"2005","2005/04/01 00:00:00","AMBATO","0,00848294"
"2005","2005/04/01 00:00:00","COSTA ","0,01255709"
"2005","2005/04/01 00:00:00","CUENCA","0,00585904"
"2005","2005/04/01 00:00:00","ESMERALDAS","0,01252945"
"2005","2005/04/01 00:00:00","GUAYAQUIL ","0,01394082"
"2005","2005/04/01 00:00:00","LOJA","0,00424736"
"2005","2005/04/01 00:00:00","MACHALA ","0,00947158"
"2005","2005/04/01 00:00:00","MANTA ","0,00955733"
"2005","2005/04/01 00:00:00","NACIONAL","0,0083739"
"2005","2005/04/01 00:00:00","QUITO ","0,00357199"
"2005","2005/04/01 00:00:00","SIERRA","0,0047983"
"2005","2005/05/01 00:00:00","AMBATO","-0,00036333"
"2005","2005/05/01 00:00:00","COSTA ","0,00157674"
"2005","2005/05/01 00:00:00","CUENCA","0,00027297"
"2005","2005/05/01 00:00:00","ESMERALDAS","0,00446377"
"2005","2005/05/01 00:00:00","GUAYAQUIL ","0,0006899"
"2005","2005/05/01 00:00:00","LOJA","0,00016372"
"2005","2005/05/01 00:00:00","MACHALA ","0,00520661"
"2005","2005/05/01 00:00:00","MANTA ","0,00019201"
"2005","2005/05/01 00:00:00","NACIONAL","0,00175113"
"2005","2005/05/01 00:00:00","QUITO ","0,00351677"
"2005","2005/05/01 00:00:00","SIERRA","0,00190135"
"2005","2005/06/01 00:00:00","AMBATO","0,00418997"
"2005","2005/06/01 00:00:00","COSTA ","-0,00239965"
"2005","2005/06/01 00:00:00","CUENCA","-0,00087106"
"2005","2005/06/01 00:00:00","ESMERALDAS","-0,00235836"
"2005","2005/06/01 00:00:00","GUAYAQUIL ","-0,00283818"
"2005","2005/06/01 00:00:00","LOJA","0,004733"
"2005","2005/06/01 00:00:00","MACHALA ","-0,00156867"
"2005","2005/06/01 00:00:00","MANTA ","-0,00143535"
"2005","2005/06/01 00:00:00","NACIONAL","0,00071073"
"2005","2005/06/01 00:00:00","QUITO ","0,00338956"
"2005","2005/06/01 00:00:00","SIERRA","0,00338901"
"2005","2005/07/01 00:00:00","AMBATO","-0,00177144"
"2005","2005/07/01 00:00:00","COSTA ","-0,00156225"
"2005","2005/07/01 00:00:00","CUENCA","-0,00606696"
"2005","2005/07/01 00:00:00","ESMERALDAS","-0,00703298"
"2005","2005/07/01 00:00:00","GUAYAQUIL ","-0,00218796"
"2005","2005/07/01 00:00:00","LOJA","0,00038476"
"2005","2005/07/01 00:00:00","MACHALA ","-0,00083502"
"2005","2005/07/01 00:00:00","MANTA ","0,00545726"
"2005","2005/07/01 00:00:00","NACIONAL","-0,00155706"
"2005","2005/07/01 00:00:00","QUITO ","-0,00136956"
"2005","2005/07/01 00:00:00","SIERRA","-0,00155261"
"2005","2005/08/01 00:00:00","AMBATO","-0,00515438"
"2005","2005/08/01 00:00:00","COSTA ","-0,00256317"
"2005","2005/08/01 00:00:00","CUENCA","0,00507719"
"2005","2005/08/01 00:00:00","ESMERALDAS","-0,00109584"
"2005","2005/08/01 00:00:00","GUAYAQUIL ","-0,00262793"
"2005","2005/08/01 00:00:00","LOJA","0,00004741"
"2005","2005/08/01 00:00:00","MACHALA ","-0,00059969"
"2005","2005/08/01 00:00:00","MANTA ","-0,00437923"
"2005","2005/08/01 00:00:00","NACIONAL","-0,00146299"
"2005","2005/08/01 00:00:00","QUITO ","-0,00009214"
"2005","2005/08/01 00:00:00","SIERRA","-0,00052112"
"2005","2005/09/01 00:00:00","AMBATO","0,00950336"
"2005","2005/09/01 00:00:00","COSTA ","0,00083914"
"2005","2005/09/01 00:00:00","CUENCA","0,00386802"
"2005","2005/09/01 00:00:00","ESMERALDAS","0,00378479"
"2005","2005/09/01 00:00:00","GUAYAQUIL ","-0,00129219"
"2005","2005/09/01 00:00:00","LOJA","0,01297538"
