Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2014","2014","toneladas","173.81","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2015","2015","toneladas","152.76","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2016","2016","toneladas","528.3","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2017","2017","toneladas","416.7","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2018","2018","toneladas","573.8","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4007","Amoníaco anhidro (para aplicación directa)","2019","2019","toneladas","524.2","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2002","2002","toneladas","83772","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2003","2003","toneladas","70631","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2004","2004","toneladas","146122","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2005","2005","toneladas","54218","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2006","2006","toneladas","135625","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2009","2009","toneladas","60320","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2010","2010","toneladas","149732.91","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2011","2011","toneladas","156249.01","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2014","2014","toneladas","160800.91","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2015","2015","toneladas","117338.51","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2016","2016","toneladas","140543.2","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2017","2017","toneladas","152376.7","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2018","2018","toneladas","151378.3","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4016","Cloruro de potasio","2019","2019","toneladas","118449.1","A","Cifra oficial"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2002","2002","toneladas","346","I","Valor imputado"
"RFB","Fertilizantes por Producto","218","Ecuador","5157","Uso Agrícola","4027","Compuestos PK","2003","2003","toneladas","168","I","Valor imputado"
