date;fosfato_diamónico;muriato_de_potasio;urea
2013-01-01; 43.36 ; 33.72 ; 32.86 
2013-02-01; 43.43 ; 34.87 ; 33.95 
2013-03-01; 42.75 ; 33.93 ; 32.46 
2013-04-01; 42.59 ; 33.89 ; 32.72 
2013-05-01; 42.11 ; 33.38 ; 32.39 
2013-06-01; 42.93 ; 32.50 ; 31.60 
2013-07-01; 41.74 ; 31.79 ; 30.43 
2013-08-01; 42.03 ; 32.34 ; 31.07 
2013-09-01; 42.44 ; 32.11 ; 31.12 
2013-10-01; 41.16 ; 31.74 ; 30.37 
2013-11-01; 40.61 ; 31.53 ; 30.05 
2013-12-01; 40.37 ; 30.54 ; 29.46 
2014-01-01; 38.55 ; 30.33 ; 30.01 
2014-02-01; 39.63 ; 30.70 ; 32.99 
2014-03-01; 40.34 ; 30.90 ; 33.26 
2014-04-01; 40.10 ; 30.79 ; 32.52 
2014-05-01; 39.36 ; 30.12 ; 31.82 
2014-06-01; 38.03 ; 29.44 ; 30.77 
2014-07-01; 38.19 ; 29.33 ; 30.10 
2014-08-01; 37.24 ; 29.15 ; 29.05 
2014-09-01; 36.79 ; 29.35 ; 28.95 
2014-10-01; 36.27 ; 28.93 ; 28.22 
2014-11-01; 36.72 ; 28.80 ; 28.29 
2014-12-01; 37.48 ; 28.54 ; 28.13 
2015-01-01; 37.56 ; 28.42 ; 27.69 
2015-02-01; 38.01 ; 28.49 ; 27.43 
2015-03-01; 37.55 ; 28.68 ; 26.68 
2015-04-01; 37.52 ; 28.47 ; 26.62 
2015-05-01; 36.87 ; 28.09 ; 26.03 
2015-06-01; 36.81 ; 27.45 ; 25.95 
2015-07-01; 36.80 ; 27.19 ; 25.72 
2015-08-01; 36.66 ; 27.20 ; 25.12 
2015-09-01; 36.58 ; 26.95 ; 25.05 
2015-10-01; 36.24 ; 26.20 ; 24.70 
2015-11-01; 36.40 ; 25.67 ; 24.31 
2015-12-01; 36.84 ; 28.95 ; 28.48 
2016-01-01; 35.41 ; 26.02 ; 24.10 
2016-02-01; 35.66 ; 25.33 ; 23.76 
2016-03-01; 35.61 ; 25.49 ; 23.97 
2016-04-01; 35.26 ; 26.32 ; 23.54 
2016-05-01; 34.01 ; 24.60 ; 22.54 
2016-06-01; 33.87 ; 24.14 ; 21.80 
2016-07-01; 33.70 ; 23.75 ; 21.62 
2016-08-01; 32.59 ; 23.30 ; 20.74 
2016-09-01; 32.91 ; 23.11 ; 20.25 
2016-10-01; 31.65 ; 22.85 ; 20.09 
2016-11-01; 32.25 ; 22.51 ; 19.62 
2016-12-01; 30.67 ; 21.91 ; 19.26 
2017-01-01; 30.60 ; 20.95 ; 18.79 
2017-02-01; 30.47 ; 20.97 ; 19.01 
2017-03-01; 29.53 ; 20.48 ; 18.98 
2017-04-01; 29.34 ; 20.26 ; 19.27 
2017-05-01; 28.69 ; 20.08 ; 18.97 
2017-06-01; 28.56 ; 20.17 ; 18.87 
2017-07-01; 28.59 ; 20.20 ; 18.62 
2017-08-01; 28.35 ; 20.00 ; 18.81 
2017-09-01; 28.05 ; 20.11 ; 18.64 
2017-10-01; 28.13 ; 19.98 ; 19.04 
2017-11-01; 28.08 ; 20.29 ; 19.86 
2017-12-01; 28.81 ; 20.42 ; 20.28 
2018-01-01; 28.88 ; 20.47 ; 20.46 
2018-02-01; 29.01 ; 20.65 ; 20.60 
2018-03-01; 29.44 ; 20.97 ; 20.42 
2018-04-01; 29.98 ; 20.91 ; 20.41 
2018-05-01; 29.96 ; 21.24 ; 20.46 
2018-06-01; 29.63 ; 21.16 ; 20.55 
2018-07-01; 29.63 ; 21.18 ; 20.03 
